"Category","Type.of.feeding.interaction","Predator.lifestage","Location","Slope","Intercept","R.squared","F.statistic","p.value"
"piscivorous.juvenile.W Greenland","piscivorous","juvenile","W Greenland",6.53844144716837,0.0932390373012151,0.573013216989562,25.4978644679396,7.11822392025366e-05
"predacious.juvenile.W Greenland","predacious","juvenile","W Greenland",0.0266888733441382,0.139484359020791,0.188875726963309,32.599938941375,6.51410193088338e-08
"predacious.adult.French Polynesian EEZ","predacious","adult","French Polynesian EEZ",-27.7274005595723,20575.8736834174,0.00329319005426941,6.57510126609144,0.0104143264276379
"piscivorous.adult.French Polynesian EEZ","piscivorous","adult","French Polynesian EEZ",-1.64593427582037,21176.9940663806,0.000156849803497251,0.294767014919703,0.587246178185154
"planktivorous.adult.French Polynesian EEZ","planktivorous","adult","French Polynesian EEZ",2.10495405767875,31783.8772343461,5.74318941536718e-06,0.000781078246370253,0.977744771607622
"planktivorous.larva.Catalan Sea","planktivorous","larva","Catalan Sea",215.612238352205,0.00406712631900231,0.104429094004287,50.9568966280062,3.96075896662663e-12
"planktivorous.larva.Western North Pacific","planktivorous","larva","Western North Pacific",3.52458142165181,0.00447145509455239,0.000139799313931179,0.030200873870582,0.86219798778381
"predacious.larva.Western North Pacific","predacious","larva","Western North Pacific",121.963410805906,0.0120752631739834,0.115812129314908,29.7327685960162,1.29102881334097e-07
"piscivorous.adult.Atlantic Ocean","piscivorous","adult","Atlantic Ocean",4.86223410967456,1781.92810925732,0.0784205151286025,935.348840164217,3.20607848901578e-197
"predacious.adult.Atlantic Ocean","predacious","adult","Atlantic Ocean",1.9392770232205,1754.70401137526,0.00739698279115365,37.9163147692418,7.95138953987963e-10
"piscivorous.juvenile.Off the Bay of Biscay","piscivorous","juvenile","Off the Bay of Biscay",-1.96797521586126e-11,5559.99999999962,0.499991796105687,2976.90230962941,0
"predacious.juvenile.Off the Bay of Biscay","predacious","juvenile","Off the Bay of Biscay",-2.74768666340406e-14,5560.00000000005,0.499894657185999,599.747230501298,2.40421755046243e-92
"piscivorous.adult.Off the Bay of Biscay","piscivorous","adult","Off the Bay of Biscay",120.756555830182,88678.7053828189,0.202948633663864,90.6462451930184,2.70482591555016e-19
"predacious.adult.Off the Bay of Biscay","predacious","adult","Off the Bay of Biscay",47.5990438892657,114065.246976831,0.048924030984617,24.2285783096911,1.18524246776343e-06
"piscivorous.adult.Great South Bay, Long Island, New York","piscivorous","adult","Great South Bay, Long Island, New York",5.44632116641699,14.5631853115677,0.30716099416389,130.784341694212,2.58826202946318e-25
"predacious.larva / juvenile.Strait of Georgia","predacious","larva / juvenile","Strait of Georgia",163.488716538756,1.5796281766769,0.125798764666407,66.7702405876136,2.92553502100985e-15
"planktivorous.larva / juvenile.Strait of Georgia","planktivorous","larva / juvenile","Strait of Georgia",100348.136755092,0.412017531898669,0.0281834521378093,3.42209376818833,0.0668312825188674
"piscivorous.larva / juvenile.Strait of Georgia","piscivorous","larva / juvenile","Strait of Georgia",172.511898493461,9.86483143239672,0.232313578702393,2.72353678574574,0.133275952079355
"insectivorous.larva / juvenile.Strait of Georgia","insectivorous","larva / juvenile","Strait of Georgia",81.1591380069622,-3.45975627178893,0.621254577117463,49.2088780154159,8.51926669047012e-08
"piscivorous.adult.Europe, Celtic Sea ecosystem","piscivorous","adult","Europe, Celtic Sea ecosystem",12.9897337832027,791.833537668489,0.198903821461407,518.67690068236,9.78120093069952e-103
"predacious.postlarva/juvenile.Antarctic Peninsula","predacious","postlarva/juvenile","Antarctic Peninsula",1.74618988244161,0.565541752418578,0.046276154857748,28.5306686992787,1.32011188235223e-07
"planktivorous.postlarva/juvenile.Antarctic Peninsula","planktivorous","postlarva/juvenile","Antarctic Peninsula",21012.870102476,0.153516129748767,0.0763315504427213,21.65156363799,5.19518130117453e-06
"predacious.postlarva.Antarctic Peninsula","predacious","postlarva","Antarctic Peninsula",-0.00861452759101591,0.133502073567387,0.0105760559264123,0.748237314533598,0.389989666306616
"piscivorous.postlarva.Antarctic Peninsula","piscivorous","postlarva","Antarctic Peninsula",0.582050921513236,0.0382407206914082,0.605743142370175,47.6289430356757,9.7272295316571e-08
"planktivorous.larva.Antarctic Peninsula","planktivorous","larva","Antarctic Peninsula",303412.255984306,-0.175620190172289,0.221369106173468,90.1248681671541,5.62223327400188e-19
"predacious.larva.Antarctic Peninsula","predacious","larva","Antarctic Peninsula",26559.9921959298,0.139792754561369,0.584817618894892,1333.92530679971,5.83367592354948e-183
"predacious.juvenile.Oxwich Bay, Wales","predacious","juvenile","Oxwich Bay, Wales",20.0072558960934,0.29675463293898,0.12689726865344,190.832198503148,1.25359043318182e-40
"planktivorous.larva.Greenland","planktivorous","larva","Greenland",0.0224934241833164,0.012841847290578,0.213201494276038,12.7357514764896,0.000838980835628297
"predacious.adult.Eastern Mediterranean","predacious","adult","Eastern Mediterranean",4.66995038979443,3.38884414664005,0.040902533259778,9.29702408759127,0.00257932032982734
"planktivorous.adult.Eastern Mediterranean","planktivorous","adult","Eastern Mediterranean",49.6789473684212,2.36210526315787,0.00558551413718179,0.101103972134957,0.75416813649542
"piscivorous.adult.Eastern Mediterranean","piscivorous","adult","Eastern Mediterranean",2.10178811132542,167.83104888295,0.352890346819133,68.1666439923474,1.81489474211438e-13
